u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bridge,tunnel,service,access,width,ref,junction,area
1620788312,1617039523,0,148626294,2,,cycleway,,False,330.635,"LINESTRING (12.5903262 41.854639, 12.590217 41.8546469, 12.5901885 41.8543421, 12.5901909 41.8542177, 12.5901919 41.8541647, 12.5902036 41.8540386, 12.5902355 41.8538249, 12.5902779 41.8536233, 12.5903294 41.853379, 12.5903882 41.8530978, 12.5904585 41.8527618, 12.5904906 41.8526053, 12.5905743 41.8521971, 12.5906581 41.8518274, 12.5906364 41.8517852)",,,,,,,,
1620791355,1617039520,0,"[234043052, 164435765, 234043053]",,,cycleway,,False,510.887,"LINESTRING (12.5911566 41.8471446, 12.5911835 41.8471832, 12.5912233 41.8472485, 12.5912854 41.8473485, 12.5913273 41.8474297, 12.591376 41.8475496, 12.5914196 41.8476758, 12.591433 41.847727, 12.5914582 41.8478407, 12.5914622 41.8478728, 12.5914783 41.8480469, 12.5914833 41.8481768, 12.5914582 41.8483417, 12.5914229 41.8484792, 12.5914152 41.8485129, 12.5913726 41.848699, 12.5912777 41.8491284, 12.5912334 41.8493287, 12.5911215 41.8498016, 12.5910959 41.8499122, 12.591043 41.8501572, 12.591012 41.8503007, 12.5909287 41.8506462, 12.5908767 41.8508621, 12.5908237 41.8510821, 12.5907672 41.8513164, 12.590752 41.851404, 12.590737 41.85149, 12.5906665 41.8516437)",,building_passage,,,,,,
1620827163,1620840439,0,143444813,2,,cycleway,,False,496.101,"LINESTRING (12.4345416 41.7985902, 12.4341242 41.7985337, 12.4340657 41.7985293, 12.4340297 41.7985309, 12.4340096 41.7985409, 12.4339935 41.7985592, 12.4339914 41.7985798, 12.4340023 41.7986015, 12.4340341 41.7986296, 12.4349522 41.7992352, 12.435383 41.7994994, 12.435732 41.7997371, 12.4365177 41.8002684, 12.4374724 41.800906, 12.4376461 41.8010219, 12.4378503 41.8011581, 12.437998 41.8012563)",,,,,,,,
1620840439,1620827163,0,143444813,2,,cycleway,,False,496.10100000000006,"LINESTRING (12.437998 41.8012563, 12.4378503 41.8011581, 12.4376461 41.8010219, 12.4374724 41.800906, 12.4365177 41.8002684, 12.435732 41.7997371, 12.435383 41.7994994, 12.4349522 41.7992352, 12.4340341 41.7986296, 12.4340023 41.7986015, 12.4339914 41.7985798, 12.4339935 41.7985592, 12.4340096 41.7985409, 12.4340297 41.7985309, 12.4340657 41.7985293, 12.4341242 41.7985337, 12.4345416 41.7985902)",,,,,,,,
1620840439,413723683,0,143444813,2,,cycleway,,False,3858.5879999999997,"LINESTRING (12.437998 41.8012563, 12.4380956 41.8013212, 12.4381387 41.8012905, 12.4382315 41.8012248, 12.4383045 41.8011655, 12.4387221 41.8009406, 12.43911 41.8006095, 12.4396901 41.8001325, 12.4401921 41.7997104, 12.4404356 41.7995026, 12.4404161 41.7994477, 12.4403245 41.7994054, 12.4400524 41.7992318, 12.4396699 41.7990151, 12.4394966 41.7989153, 12.4393422 41.7988069, 12.4391269 41.7986595, 12.4390291 41.7985878, 12.4385312 41.7982505, 12.4382012 41.7980369, 12.4376499 41.7976845, 12.4372984 41.7973839, 12.4368283 41.7969674, 12.4365021 41.7967312, 12.4363594 41.796633, 12.4360032 41.7963878, 12.4357841 41.7962274, 12.4357088 41.7961297, 12.4353438 41.795921, 12.4351672 41.7958546, 12.4348297 41.7955707, 12.4345418 41.7953664, 12.4343926 41.795304, 12.4342288 41.795207, 12.4337135 41.7950487, 12.4335547 41.794997, 12.4334671 41.7949402, 12.4332263 41.7951417, 12.4331623 41.7951004, 12.4330904 41.7950453, 12.4330451 41.7950133, 12.4332733 41.7948255, 12.4333067 41.7947646, 12.4333046 41.7946922, 12.4332327 41.7946259, 12.4327934 41.794339, 12.432537 41.7942269, 12.4318467 41.7937677, 12.430661 41.7929646, 12.429696 41.7923225, 12.4290014 41.7918449, 12.4285427 41.7915439, 12.4282851 41.7917563, 12.4281621 41.7918605, 12.427846 41.7921283, 12.4277648 41.7921919, 12.4274123 41.7924723, 12.4271896 41.7926735, 12.4269643 41.7928646, 12.4269077 41.7928153, 12.4268293 41.7927619, 12.4267829 41.7927457, 12.4267517 41.7926847, 12.4265912 41.7925624, 12.4263338 41.792391, 12.4259879 41.792156, 12.4256472 41.7919247, 12.4255609 41.7919104, 12.4254699 41.7919824, 12.4253843 41.7920477, 12.4253099 41.7920764, 12.4252436 41.7920224, 12.4248192 41.7917358, 12.4248513 41.7916851, 12.424877 41.79165, 12.4247706 41.7915561, 12.4244385 41.7913509, 12.4241913 41.7911898, 12.4240482 41.7911575, 12.4238445 41.7911237, 12.4235175 41.7910741, 12.4232879 41.7910532, 12.4231646 41.7910837, 12.4230846 41.7911452, 12.4229629 41.7913038, 12.4227819 41.7916025, 12.4225771 41.7919212, 12.4224613 41.792127, 12.4223782 41.7923638, 12.4222862 41.7926404, 12.4222001 41.7927998, 12.4220191 41.7929857, 12.4218261 41.7931516, 12.4217163 41.793249, 12.4216767 41.7933048, 12.4216613 41.7933765, 12.4216777 41.7934371, 12.4217846 41.7935478, 12.4221076 41.7938087, 12.4223555 41.7940833, 12.4225919 41.7943068, 12.4228217 41.794477, 12.4230395 41.7945969, 12.4233096 41.7947097, 12.4234918 41.7947822, 12.4236968 41.7948487, 12.4239855 41.7949054, 12.4242558 41.7949372, 12.4245272 41.7949486, 12.424643 41.7949906, 12.4246776 41.7950602, 12.4246751 41.795128, 12.42464 41.795202, 12.4245688 41.7952761, 12.4243639 41.7953889, 12.4241803 41.7955721, 12.4241107 41.7957356, 12.4240962 41.7958851, 12.4241249 41.7959788, 12.4241805 41.7960536, 12.4242586 41.7961159, 12.4243596 41.7962291, 12.4243773 41.7963823, 12.4243401 41.7964733, 12.4243767 41.7964981, 12.4244542 41.7965468, 12.4245112 41.7965873, 12.4245662 41.7965458, 12.4248656 41.796741, 12.4246014 41.7969822, 12.4242808 41.7972632, 12.423981 41.7975044, 12.423702 41.7977456, 12.4236083 41.7978189, 12.4235596 41.7977854, 12.423299 41.7976119, 12.4230312 41.7978585, 12.4229369 41.7979979, 12.4228977 41.7981575, 12.4228228 41.7985235, 12.4227625 41.7985243, 12.4226648 41.7985172, 12.4225953 41.7985077, 12.4225705 41.7986317, 12.4223772 41.7986926, 12.4216216 41.7989993, 12.4211591 41.7991713, 12.420812 41.7992759, 12.4204534 41.799369, 12.420263 41.7994501, 12.4200663 41.7995554, 12.4199213 41.799653, 12.4197165 41.7997448, 12.4195176 41.7997895, 12.4193032 41.7998573, 12.4191954 41.7999975, 12.4191208 41.8002072, 12.4190969 41.8003063)",,,,,,,,
1620840439,4839490637,0,"[149050353, 149050354, 491858957]",,,cycleway,,False,982.972,"LINESTRING (12.437998 41.8012563, 12.4376214 41.8016126, 12.4373052 41.8018378, 12.4372157 41.8018872, 12.4371229 41.8019119, 12.4370102 41.8019268, 12.4369439 41.801949, 12.436871 41.801991, 12.4368279 41.8020577, 12.4367649 41.8021022, 12.4366555 41.8021319, 12.4365494 41.802117, 12.436493 41.80208, 12.4364533 41.8020231, 12.4364201 41.8018946, 12.4363803 41.8018279, 12.4363074 41.801818, 12.4362078 41.8018514, 12.4361133 41.801888, 12.4360253 41.8019255, 12.4359759 41.8019465, 12.4359063 41.8020479, 12.43583 41.8021591, 12.4357207 41.8022703, 12.4356179 41.8023493, 12.4354753 41.8023938, 12.4352101 41.8024259, 12.4349085 41.8024531, 12.4345538 41.8024951, 12.4344344 41.8024976, 12.4341924 41.8024309, 12.4339173 41.8022801, 12.4338112 41.8022258, 12.4331582 41.8021047, 12.4319747 41.8018699, 12.4318985 41.801865, 12.4313548 41.8019317, 12.4312918 41.8019268, 12.4309106 41.8016747, 12.4308178 41.8016253, 12.4306885 41.8015981, 12.4303769 41.8016599, 12.4301762 41.8017326, 12.4299395 41.8018053, 12.4296147 41.8019402, 12.4293409 41.8020786, 12.4289789 41.80221, 12.4286494 41.8023, 12.4284638 41.8023069, 12.4278162 41.8022404)",,yes,,,,,,
1620846354,901749005,0,149050964,2,,cycleway,,False,396.267,"LINESTRING (12.4351377 41.7981451, 12.4349723 41.7982486, 12.434906 41.7982808, 12.43479 41.7983005, 12.4347038 41.7982931, 12.4346281 41.7982825, 12.4344916 41.7982635, 12.4338618 41.798172, 12.4331855 41.7980707, 12.4324363 41.7979669, 12.4315711 41.7978409, 12.4312041 41.7978189, 12.4307814 41.7977554, 12.4304955 41.7977231)",,,,,,,,
1620873874,1620874568,0,149057399,,,cycleway,,False,735.124,"LINESTRING (12.6356539 41.9320881, 12.6357404 41.932086, 12.6357618 41.9320864, 12.6357881 41.9320889, 12.6358137 41.9320928, 12.6358407 41.9320987, 12.6358622 41.9321061, 12.6358853 41.9321185, 12.6359074 41.9321356, 12.6359241 41.9321547, 12.6359368 41.9321747, 12.6359468 41.9321948, 12.6360289 41.9324999, 12.6360781 41.9327929, 12.6360794 41.9328452, 12.6360699 41.9328936, 12.63605 41.9329526, 12.6360166 41.9330096, 12.6359787 41.9330539, 12.6358771 41.9331652, 12.6357991 41.9332415, 12.6357917 41.9332568, 12.6357956 41.9332727, 12.6358083 41.9332896, 12.635829 41.9333064, 12.6365006 41.933681, 12.6367568 41.9338054, 12.6371153 41.9339793, 12.6373621 41.9341509, 12.6374975 41.934218, 12.6379281 41.934396, 12.6380279 41.9344439, 12.6381315 41.9345081, 12.6382605 41.9346026, 12.6384984 41.9347612, 12.6386366 41.9348345, 12.6387855 41.9349077, 12.6390153 41.9349993, 12.6393845 41.9351335, 12.6397373 41.9352709, 12.640168 41.9354601, 12.6405823 41.9356554, 12.6409555 41.9358278, 12.6413052 41.9359913, 12.6413677 41.9360282, 12.6414301 41.9360771, 12.6415369 41.936181)",,,,,,,,
1620873899,1756115902,0,149057401,,,cycleway,,False,409.07800000000003,"LINESTRING (12.6347891 41.9333583, 12.6348561 41.9334667, 12.6348479 41.9335277, 12.6347044 41.9337245, 12.6346285 41.9337795, 12.6345657 41.9337811, 12.6345044 41.9337618, 12.6344327 41.9337556, 12.6343199 41.9337733, 12.634249 41.9338069, 12.6342039 41.9338405, 12.6341649 41.9338908, 12.634089 41.9339412, 12.6340123 41.9339729, 12.6339065 41.9339702, 12.6336808 41.9338131, 12.6336293 41.9337428, 12.6336501 41.9337047, 12.6337609 41.9336391, 12.6339721 41.9334163, 12.634126 41.9332515, 12.6343147 41.9330425, 12.63469 41.9326396, 12.6348172 41.9325084, 12.6348623 41.9324352, 12.6348808 41.9323726, 12.6348664 41.9322917, 12.6348416 41.9322353, 12.6347456 41.9321777, 12.6344376 41.932033, 12.6343344 41.9319855)",,,,,,,,
1620874568,1620873874,0,149057399,,,cycleway,,False,735.1240000000003,"LINESTRING (12.6415369 41.936181, 12.6414301 41.9360771, 12.6413677 41.9360282, 12.6413052 41.9359913, 12.6409555 41.9358278, 12.6405823 41.9356554, 12.640168 41.9354601, 12.6397373 41.9352709, 12.6393845 41.9351335, 12.6390153 41.9349993, 12.6387855 41.9349077, 12.6386366 41.9348345, 12.6384984 41.9347612, 12.6382605 41.9346026, 12.6381315 41.9345081, 12.6380279 41.9344439, 12.6379281 41.934396, 12.6374975 41.934218, 12.6373621 41.9341509, 12.6371153 41.9339793, 12.6367568 41.9338054, 12.6365006 41.933681, 12.635829 41.9333064, 12.6358083 41.9332896, 12.6357956 41.9332727, 12.6357917 41.9332568, 12.6357991 41.9332415, 12.6358771 41.9331652, 12.6359787 41.9330539, 12.6360166 41.9330096, 12.63605 41.9329526, 12.6360699 41.9328936, 12.6360794 41.9328452, 12.6360781 41.9327929, 12.6360289 41.9324999, 12.6359468 41.9321948, 12.6359368 41.9321747, 12.6359241 41.9321547, 12.6359074 41.9321356, 12.6358853 41.9321185, 12.6358622 41.9321061, 12.6358407 41.9320987, 12.6358137 41.9320928, 12.6357881 41.9320889, 12.6357618 41.9320864, 12.6357404 41.932086, 12.6356539 41.9320881)",,,,,,,,
1621369358,2364277824,0,"[227766389, 227766388, 101289621, 617177726]",,,"['cycleway', 'path']",,False,693.172,"LINESTRING (12.4588254 41.8780048, 12.45881 41.8778702, 12.4587685 41.8775971, 12.4587214 41.8773883, 12.4586218 41.876988, 12.4586046 41.8769535, 12.458548 41.8767627, 12.4585293 41.8766986, 12.4584979 41.8766413, 12.4584837 41.8765936, 12.4584792 41.8765124, 12.4584927 41.8764043, 12.4584982 41.8762832, 12.4585127 41.8761454, 12.4584938 41.8760577, 12.4584606 41.8759511, 12.4583954 41.8758184, 12.4583248 41.8756695, 12.458289 41.8755939, 12.4582634 41.8755124, 12.4582359 41.8753455, 12.4582146 41.8751946, 12.4582122 41.8749182, 12.4582141 41.8745357, 12.4582333 41.8743039, 12.4582693 41.8741534, 12.4583215 41.8739787, 12.4583912 41.8738138, 12.4584229 41.8737411, 12.4584912 41.8736574, 12.4585471 41.8735735, 12.4586369 41.8734995, 12.4586936 41.8734317, 12.4587063 41.8734123, 12.4587093 41.8733977, 12.4587177 41.8733132, 12.4587224 41.8732965, 12.458743 41.8732517, 12.4588737 41.873116, 12.4589851 41.8730148, 12.4591576 41.8728731, 12.4593209 41.8727506, 12.4595216 41.8726327, 12.4597734 41.8724966, 12.4598167 41.8724844, 12.4598593 41.87248, 12.4598878 41.8724857, 12.459905 41.8724969, 12.459915 41.8725077, 12.4599291 41.8725157, 12.4599428 41.8725184, 12.4599733 41.8725199, 12.4600005 41.8725259, 12.4600467 41.8725457, 12.4600799 41.8725576)",,,,,,,,
1669543695,1106951029,0,116865633,2,,cycleway,,False,136.033,"LINESTRING (12.4817485 41.9273124, 12.4816295 41.9273309, 12.4818416 41.9278837, 12.4819491 41.9281802, 12.481982 41.9282843, 12.4819929 41.9283776, 12.4819401 41.9284091)",,,,,,,,
1673268891,799917369,0,143326127,2,,cycleway,,False,846.712,"LINESTRING (12.568783 41.8625565, 12.5688641 41.86258, 12.5689914 41.8626344, 12.5690066 41.862777, 12.5686406 41.8635371, 12.5683578 41.8641552, 12.5682752 41.8643523, 12.5681165 41.8646706, 12.5680964 41.8647308, 12.5679934 41.8650398, 12.5678795 41.8656823, 12.5678259 41.8657138, 12.5677402 41.8657161, 12.5677253 41.8657817, 12.5677162 41.8658753, 12.5677126 41.8659341, 12.5676942 41.8660444, 12.5677212 41.8661082, 12.5677299 41.8661835, 12.5677333 41.8662886, 12.5677043 41.8667157, 12.5677073 41.8668656, 12.5677296 41.8669045, 12.5677825 41.8674941, 12.5679472 41.8683278, 12.5680785 41.8690262, 12.5680912 41.869094, 12.5681908 41.8695828, 12.5682167 41.8697179, 12.5682282 41.8698294)",,,,,,,,
1695386464,1758622433,0,32867594,2,,cycleway,,False,727.758,"LINESTRING (12.4947249 41.8426367, 12.4948451 41.842618, 12.4949362 41.8426023, 12.4950334 41.8426016, 12.4964101 41.8422307, 12.4980893 41.8417662, 12.4987147 41.8415549, 12.4996999 41.8412188, 12.5007301 41.8408213, 12.5017303 41.840446, 12.5019881 41.8403806, 12.5023246 41.8403212, 12.5025344 41.8402859, 12.5028587 41.8402301)",,,,,,,,
1695386464,1697595826,0,"[157331915, 157331916, 157331917]",2,,cycleway,,False,616.6600000000001,"LINESTRING (12.4947249 41.8426367, 12.4947406 41.8426219, 12.4947546 41.8425898, 12.4947351 41.8423903, 12.4947173 41.8422788, 12.4946962 41.8421651, 12.4946703 41.8419928, 12.4946421 41.8418215, 12.4946121 41.8416597, 12.4945927 41.8415426, 12.4945608 41.8414385, 12.4945065 41.8413665, 12.4944184 41.8413022, 12.4943139 41.8412458, 12.4942332 41.8412177, 12.494145 41.8412009, 12.4940696 41.8411928, 12.4939904 41.8411918, 12.4938618 41.8411834, 12.4937093 41.8411761, 12.4936042 41.8411698, 12.4934916 41.8411618, 12.4932705 41.8411502, 12.493171 41.8411458, 12.4930673 41.841143, 12.4930141 41.8411458, 12.4929484 41.8411469, 12.4928977 41.8411496, 12.4928317 41.8411538, 12.4927658 41.8411672, 12.4926963 41.8411818, 12.4926334 41.8411967, 12.492585 41.8412117, 12.492538 41.8412277, 12.4924623 41.8412556, 12.492424 41.8412727, 12.4923905 41.8412917, 12.4923467 41.8413179, 12.4922671 41.8413646, 12.4922192 41.8414009, 12.4921853 41.8414286, 12.4921531 41.8414595, 12.492078 41.8415185, 12.4919426 41.8416344, 12.491675 41.8418626, 12.4915684 41.8419561, 12.4914964 41.8420193, 12.4914657 41.8420462, 12.4913914 41.8421089, 12.491323 41.8421679, 12.4911822 41.8422888, 12.4909081 41.8425249, 12.4908553 41.8424958, 12.4907915 41.84246, 12.490661 41.8425578, 12.4906209 41.8425936, 12.4905712 41.8426439, 12.4903404 41.8428394, 12.4901629 41.8430123, 12.4901534 41.8430494, 12.4901793 41.8431044)",,,,,,,,
1695386464,270302462,0,157689684,2,,cycleway,,False,264.491,"LINESTRING (12.4947249 41.8426367, 12.4946715 41.8427039, 12.4939705 41.8429052, 12.4934039 41.8430605, 12.4931393 41.8431325, 12.4929457 41.8431931, 12.4928091 41.843228, 12.4923983 41.843365, 12.4921347 41.8435131, 12.4920052 41.8436339, 12.4920441 41.8437099)",,,,,,,,
1695386468,1697596073,0,"[157331918, 157522303]",1,,"['cycleway', 'path']",20,False,317.863,"LINESTRING (12.4900746 41.8431403, 12.4899819 41.8432017, 12.4897939 41.8434482, 12.4898605 41.843481, 12.4899338 41.843519, 12.490393 41.843757, 12.4904532 41.8438243, 12.4904642 41.8438651, 12.4904559 41.8438977, 12.4904066 41.8439589, 12.4902095 41.8441425, 12.4901383 41.8442241, 12.4899548 41.8444342, 12.4898453 41.8444975, 12.4896837 41.8445546, 12.4894374 41.8445852, 12.489114 41.84464, 12.4890424 41.8446342, 12.48893 41.8446074, 12.4885337 41.8444874)",,,,,,,,
1697595826,1695386464,0,"[157331915, 157331916, 157331917]",2,,cycleway,,False,616.6600000000003,"LINESTRING (12.4901793 41.8431044, 12.4901534 41.8430494, 12.4901629 41.8430123, 12.4903404 41.8428394, 12.4905712 41.8426439, 12.4906209 41.8425936, 12.490661 41.8425578, 12.4907915 41.84246, 12.4908553 41.8424958, 12.4909081 41.8425249, 12.4911822 41.8422888, 12.491323 41.8421679, 12.4913914 41.8421089, 12.4914657 41.8420462, 12.4914964 41.8420193, 12.4915684 41.8419561, 12.491675 41.8418626, 12.4919426 41.8416344, 12.492078 41.8415185, 12.4921531 41.8414595, 12.4921853 41.8414286, 12.4922192 41.8414009, 12.4922671 41.8413646, 12.4923467 41.8413179, 12.4923905 41.8412917, 12.492424 41.8412727, 12.4924623 41.8412556, 12.492538 41.8412277, 12.492585 41.8412117, 12.4926334 41.8411967, 12.4926963 41.8411818, 12.4927658 41.8411672, 12.4928317 41.8411538, 12.4928977 41.8411496, 12.4929484 41.8411469, 12.4930141 41.8411458, 12.4930673 41.841143, 12.493171 41.8411458, 12.4932705 41.8411502, 12.4934916 41.8411618, 12.4936042 41.8411698, 12.4937093 41.8411761, 12.4938618 41.8411834, 12.4939904 41.8411918, 12.4940696 41.8411928, 12.494145 41.8412009, 12.4942332 41.8412177, 12.4943139 41.8412458, 12.4944184 41.8413022, 12.4945065 41.8413665, 12.4945608 41.8414385, 12.4945927 41.8415426, 12.4946121 41.8416597, 12.4946421 41.8418215, 12.4946703 41.8419928, 12.4946962 41.8421651, 12.4947173 41.8422788, 12.4947351 41.8423903, 12.4947546 41.8425898, 12.4947406 41.8426219, 12.4947249 41.8426367)",,,,,,,,
1697596073,1340594389,0,157522303,,,path,20,False,9.008,"LINESTRING (12.4885337 41.8444874, 12.48843 41.844463)",,,,,,,,
1697596073,427840865,0,"[157331619, 36806493, 35780943]",2,,cycleway,,False,483.36400000000003,"LINESTRING (12.4885337 41.8444874, 12.488457 41.8445804, 12.4883279 41.8446464, 12.4872348 41.8455096, 12.4872024 41.845573, 12.4871015 41.8456488, 12.4870187 41.8457152, 12.486426 41.8461733, 12.4863985 41.8461763, 12.4863646 41.8461684, 12.4863173 41.8461411, 12.4862003 41.8460495, 12.4861091 41.8459783, 12.4859804 41.8458849, 12.4858692 41.8458047, 12.4857322 41.845735, 12.4856506 41.8457939, 12.4854816 41.8459186, 12.4845776 41.8466306, 12.4844836 41.8467046)",,,,,,,,
1697596073,1695386468,0,"[157331918, 157522303]",1,,"['cycleway', 'path']",20,False,317.86299999999994,"LINESTRING (12.4885337 41.8444874, 12.48893 41.8446074, 12.4890424 41.8446342, 12.489114 41.84464, 12.4894374 41.8445852, 12.4896837 41.8445546, 12.4898453 41.8444975, 12.4899548 41.8444342, 12.4901383 41.8442241, 12.4902095 41.8441425, 12.4904066 41.8439589, 12.4904559 41.8438977, 12.4904642 41.8438651, 12.4904532 41.8438243, 12.490393 41.843757, 12.4899338 41.843519, 12.4898605 41.843481, 12.4897939 41.8434482, 12.4899819 41.8432017, 12.4900746 41.8431403)",,,,,,,,
1720732868,1720732879,0,160010795,,,cycleway,,False,965.353,"LINESTRING (12.3374222 41.7305462, 12.3376184 41.7304589, 12.3385528 41.7311898, 12.3396316 41.7320252, 12.3397731 41.7321308, 12.3401913 41.7324429, 12.3448484 41.7360142, 12.3448963 41.7360857, 12.3449314 41.7361548, 12.3450622 41.73625, 12.3451922 41.7363506, 12.3454133 41.7365215, 12.3455076 41.7364513)",,,,,,,,
1720732879,1720732868,0,160010795,,,cycleway,,False,965.3530000000001,"LINESTRING (12.3455076 41.7364513, 12.3454133 41.7365215, 12.3451922 41.7363506, 12.3450622 41.73625, 12.3449314 41.7361548, 12.3448963 41.7360857, 12.3448484 41.7360142, 12.3401913 41.7324429, 12.3397731 41.7321308, 12.3396316 41.7320252, 12.3385528 41.7311898, 12.3376184 41.7304589, 12.3374222 41.7305462)",,,,,,,,
1755864785,1756115904,0,163923649,,,cycleway,,False,55.469,"LINESTRING (12.6333014 41.9315378, 12.6332048 41.9314411, 12.6327487 41.9316085)",,,,,,,,
1755864785,1756115906,0,163923649,,,cycleway,,False,43.329,"LINESTRING (12.6333014 41.9315378, 12.633591 41.9318002, 12.6336398 41.9318348)",,,,,,,,
1755864785,1756115909,0,163923651,,,cycleway,,False,53.456,"LINESTRING (12.6333014 41.9315378, 12.6338179 41.9316518, 12.6339012 41.9316013)",,,,,,,,
1755864791,1756115902,0,168277167,,,cycleway,,False,6.24,"LINESTRING (12.6343827 41.9319424, 12.6343344 41.9319855)",,,,,,,,
1755864791,1756115909,0,163923654,,,cycleway,,False,55.427,"LINESTRING (12.6343827 41.9319424, 12.6343099 41.9319108, 12.6342109 41.9318434, 12.6340738 41.9317603, 12.6339012 41.9316013)",,,,,,,,
1755864791,1795611437,0,163923654,,,cycleway,,False,76.916,"LINESTRING (12.6343827 41.9319424, 12.6344594 41.9319706, 12.6348436 41.9321292, 12.6350886 41.932369)",,,,,,,,
