u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,bridge,width,access,tunnel,junction,lanes,service
340378228,340378229,0,60954179,False,,path,33.409,"LINESTRING (34.7830711 32.0965552, 34.7830539 32.0968553)",,,,,,,,
340378229,340378228,0,60954179,False,,path,33.409,"LINESTRING (34.7830539 32.0968553, 34.7830711 32.0965552)",,,,,,,,
340378229,340380690,0,60954179,False,,path,99.674,"LINESTRING (34.7830539 32.0968553, 34.7819958 32.0968492)",,,,,,,,
340378253,340382391,0,30780562,False,,cycleway,7.459,"LINESTRING (34.7842268 32.0968124, 34.7842097 32.0968779)",,,,,,,,
340378253,340378223,0,60954179,False,,path,65.595,"LINESTRING (34.7842268 32.0968124, 34.7835335 32.0967573)",,,,,,,,
340380690,340378229,0,60954179,False,,path,99.674,"LINESTRING (34.7819958 32.0968492, 34.7830539 32.0968553)",,,,,,,,
340380690,3451339878,0,60954179,False,,path,12.085,"LINESTRING (34.7819958 32.0968492, 34.7819614 32.0967445)",,,,,,,,
340380691,3451339878,0,60954179,False,,path,8.348,"LINESTRING (34.7819066 32.0966855, 34.7819614 32.0967445)",,,,,,,,
340380691,3451339879,0,60954179,False,,path,9.673,"LINESTRING (34.7819066 32.0966855, 34.78181 32.096656)",,,,,,,,
340380927,1140340987,0,30780427,False,,path,10.419,"LINESTRING (34.7798295 32.0965686, 34.7797193 32.0965606)",,,,,,,,
340380927,358519957,0,60954179,False,,path,69.55,"LINESTRING (34.7798295 32.0965686, 34.7805666 32.0966046)",,,,,,,,
340381019,440349192,0,30780427,False,,path,23.068,"LINESTRING (34.7788732 32.0965341, 34.778633 32.0965745)",,,,,,,,
340381019,1140340987,0,30780427,False,,path,79.757,"LINESTRING (34.7788732 32.0965341, 34.7797193 32.0965606)",,,,,,,,
340381020,1139900392,0,30780427,False,,path,17.406,"LINESTRING (34.7784706 32.0966562, 34.7783342 32.0967618)",,,,,,,,
340381020,440349192,0,30780427,False,,path,17.792,"LINESTRING (34.7784706 32.0966562, 34.778633 32.0965745)",,,,,,,,
340381022,1448911821,0,98532009,False,,path,14.345,"LINESTRING (34.778031 32.097014, 34.7779646 32.0971301)",,,,,,,,
340381022,1139900483,0,98532009,False,,path,15.568,"LINESTRING (34.778031 32.097014, 34.7781419 32.0969102)",,,,,,,,
340381023,6490520358,0,98532009,False,,path,20.848,"LINESTRING (34.777822 32.097385, 34.7777497 32.0975622)",,,,,,,,
340381023,1448911821,0,98532009,False,,path,31.366,"LINESTRING (34.777822 32.097385, 34.7779646 32.0971301)",,,,,,,,
340381024,1153967350,0,98532009,False,,path,8.203,"LINESTRING (34.7776266 32.0980727, 34.7776326 32.0981463)",,,,,,,,
340381024,6490520358,0,98532009,False,,path,57.937,"LINESTRING (34.7776266 32.0980727, 34.7777497 32.0975622)",,,,,,,,
340381025,1448909407,0,131670994,False,,path,29.581,"LINESTRING (34.777661 32.0984944, 34.777788 32.0987377)",,,,,,,,
340381025,1153967350,0,131670994,False,,path,38.799,"LINESTRING (34.777661 32.0984944, 34.7776326 32.0981463)",,,,,,,,
340381026,1448909407,0,131670994,False,,path,27.574,"LINESTRING (34.7779435 32.0989478, 34.777788 32.0987377)",,,,,,,,
340381026,1448909409,0,131671290,False,,cycleway,26.401,"LINESTRING (34.7779435 32.0989478, 34.7780847 32.0991529)",,,,,,,,
340382284,513063216,0,161433884,False,,path,2.57,"LINESTRING (34.7831602 32.0984969, 34.7831575 32.0985199)",,,,,,,,
340382284,476355656,0,482733906,False,,path,47.951,"LINESTRING (34.7831602 32.0984969, 34.7826527 32.0984633)",,,,,,,,
340382284,4755318730,0,482733906,False,,path,8.643,"LINESTRING (34.7831602 32.0984969, 34.783243 32.0984634)",,,,,,,,
340382390,358520930,0,30780562,False,,cycleway,22.409,"LINESTRING (34.783978 32.0984875, 34.7837815 32.0983739)",,,,,,,,
340382390,5081770933,0,30780583,False,,cycleway,76.571,"LINESTRING (34.783978 32.0984875, 34.7847889 32.0985355)",,,,,,,,
340382391,358520928,0,30780562,False,,cycleway,76.649,"LINESTRING (34.7842097 32.0968779, 34.7841079 32.0975618)",,,,,,,,
340382391,340378253,0,30780562,False,,cycleway,7.459,"LINESTRING (34.7842097 32.0968779, 34.7842268 32.0968124)",,,,,,,,
340382391,358527813,0,104702331,False,,cycleway,200.334,"LINESTRING (34.7842097 32.0968779, 34.7863358 32.0969211)",,,,,,,,
340382462,358520422,0,33636757,False,,path,46.667,"LINESTRING (34.7930714 32.0995147, 34.7931855 32.0991063)",,,,,,,,
340382462,1790662927,0,37557967,False,,cycleway,12.63,"LINESTRING (34.7930714 32.0995147, 34.7931769 32.0995848)",,,,,,,,
340382462,5081770932,0,30780583,False,,cycleway,64.0,"LINESTRING (34.7930714 32.0995147, 34.7924119 32.0993763)",,,,,,,,
344929187,2536071159,0,490956683,False,שביל בן גוריון,cycleway,4.29,"LINESTRING (34.7762866 32.0835425, 34.7763312 32.0835347)",,,,,,,,
344929187,344929220,0,490956683,False,שביל בן גוריון,cycleway,52.123,"LINESTRING (34.7762866 32.0835425, 34.775822 32.083797)",,,,,,,,
344929187,332203931,0,30742222,True,אדם הכהן,residential,5.719,"LINESTRING (34.7762866 32.0835425, 34.7763093 32.0835902)",30,,,,,,,
344929188,2692265005,0,490956683,False,שביל בן גוריון,cycleway,8.09,"LINESTRING (34.7780042 32.0825795, 34.7779402 32.082628)",,,,,,,,
344929188,2692265002,0,263601205,False,,path,9.751,"LINESTRING (34.7780042 32.0825795, 34.7780813 32.082521)",,,,,,,,
344929195,2469720139,0,490956683,False,שביל בן גוריון,cycleway,8.069,"LINESTRING (34.7742584 32.0843995, 34.7743388 32.0843745)",,,,,,,,
344929195,414894344,0,490956683,False,שביל בן גוריון,cycleway,63.464,"LINESTRING (34.7742584 32.0843995, 34.7736193 32.0845799)",,,,,,,,
344929212,414894344,0,490956683,False,שביל בן גוריון,cycleway,112.56,"LINESTRING (34.7724832 32.0848932, 34.7736193 32.0845799)",,,,,,,,
344929212,2469848166,0,490956683,False,שביל בן גוריון,cycleway,8.031,"LINESTRING (34.7724832 32.0848932, 34.7724005 32.0849107)",,,,,,,,
344929220,344929187,0,490956683,False,שביל בן גוריון,cycleway,52.123,"LINESTRING (34.775822 32.083797, 34.7762866 32.0835425)",,,,,,,,
344929220,2469720134,0,490956683,False,שביל בן גוריון,cycleway,61.876,"LINESTRING (34.775822 32.083797, 34.7752491 32.0840691)",,,,,,,,
358519957,1064391732,0,60954179,False,,path,17.448,"LINESTRING (34.7805666 32.0966046, 34.7807505 32.0966233)",,,,,,,,
358519957,340380927,0,60954179,False,,path,69.55,"LINESTRING (34.7805666 32.0966046, 34.7798295 32.0965686)",,,,,,,,
358520422,4755318749,0,33636757,False,,path,27.238,"LINESTRING (34.7931855 32.0991063, 34.7931678 32.0988618)",,,,,,,,
358520422,340382462,0,33636757,False,,path,46.667,"LINESTRING (34.7931855 32.0991063, 34.7930714 32.0995147)",,,,,,,,
358520928,1995998663,0,30780562,False,,cycleway,42.587,"LINESTRING (34.7841079 32.0975618, 34.784042 32.0979407)",,,,,,,,
358520928,340382391,0,30780562,False,,cycleway,76.649,"LINESTRING (34.7841079 32.0975618, 34.7842097 32.0968779)",,,,,,,,
358520930,340382390,0,30780562,False,,cycleway,22.409,"LINESTRING (34.7837815 32.0983739, 34.783978 32.0984875)",,,,,,,,
358520930,1995998680,0,30780562,False,,cycleway,16.522,"LINESTRING (34.7837815 32.0983739, 34.7838947 32.0982604)",,,,,,,,
358520930,1995998686,0,263615938,False,,cycleway,6.619,"LINESTRING (34.7837815 32.0983739, 34.7837393 32.0984215)",,,,,,,,
358521595,6157517865,0,104702332,False,,path,1.564,"LINESTRING (34.7939172 32.0980295, 34.7939321 32.0980357)",,,,,,,,
358521595,1139934444,0,104702332,False,,path,44.912,"LINESTRING (34.7939172 32.0980295, 34.7934482 32.0979568)",,,,,,,,
358521597,3907732377,0,104702332,False,,path,26.123,"LINESTRING (34.79499 32.098386, 34.795227 32.098508)",,,,,,,,
358521597,1140752838,0,104702332,False,,path,17.502,"LINESTRING (34.79499 32.098386, 34.7948148 32.0983336)",,,,,,,,
358521599,1140752829,0,104702332,False,,path,3.764,"LINESTRING (34.795359 32.098576, 34.7953978 32.0985841)",,,,,,,,
358521599,3907732377,0,104702332,False,,path,14.553,"LINESTRING (34.795359 32.098576, 34.795227 32.098508)",,,,,,,,
358521601,1140752803,0,104702332,False,,path,28.84,"LINESTRING (34.796129 32.098736, 34.7963922 32.0988685)",,,,,,,,
358521601,1140752829,0,104702332,False,,path,70.918,"LINESTRING (34.796129 32.098736, 34.7953978 32.0985841)",,,,,,,,
358521608,358521610,0,104702332,False,,path,29.815,"LINESTRING (34.798668 32.099856, 34.798935 32.1)",,,,,,,,
358521608,358529823,0,104702332,False,,path,21.836,"LINESTRING (34.798668 32.099856, 34.7984469 32.099797)",,,,,,,,
358521610,3609905447,0,104702332,False,,path,11.486,"LINESTRING (34.798935 32.1, 34.7989973 32.1000888)",,,,,,,,
358521610,358521608,0,104702332,False,,path,29.815,"LINESTRING (34.798935 32.1, 34.798668 32.099856)",,,,,,,,
358521612,951616898,0,104702332,False,,path,11.186,"LINESTRING (34.799047 32.100178, 34.799089 32.1002721)",,,,,,,,
358521612,3609905447,0,104702332,False,,path,10.968,"LINESTRING (34.799047 32.100178, 34.7989973 32.1000888)",,,,,,,,
358521614,6049931373,0,104702332,False,,path,20.191,"LINESTRING (34.7993577 32.1004354, 34.7995719 32.1004422)",,,,,,,,
358521614,412947115,0,104702332,False,,path,22.134,"LINESTRING (34.7993577 32.1004354, 34.7991654 32.100321)",,,,,,,,
358521617,3609905445,0,104702332,False,,path,15.411,"LINESTRING (34.8005049 32.1005576, 34.8006658 32.1005325)",,,,,,,,
358521617,3609905446,0,104702332,False,,path,35.954,"LINESTRING (34.8005049 32.1005576, 34.8001268 32.1005133)",,,,,,,,
358521618,358521619,0,104702332,False,,path,84.626,"LINESTRING (34.8009674 32.1004415, 34.8018171 32.1001943)",,,,,,,,
358521618,3609905445,0,104702332,False,,path,30.158,"LINESTRING (34.8009674 32.1004415, 34.8006658 32.1005325)",,,,,,,,
358521619,1140765191,0,104702332,False,,path,10.131,"LINESTRING (34.8018171 32.1001943, 34.8019236 32.1001816)",,,,,,,,
358521619,358521618,0,104702332,False,,path,84.626,"LINESTRING (34.8018171 32.1001943, 34.8009674 32.1004415)",,,,,,,,
358521622,358522447,0,344407790,False,,path,50.898,"LINESTRING (34.802385 32.100146, 34.8029251 32.1001324)",,,,,,,,
358521622,1140765191,0,344407790,False,,path,43.642,"LINESTRING (34.802385 32.100146, 34.8019236 32.1001816)",,,,,,,,
358522447,358522448,0,344407790,False,,path,198.653,"LINESTRING (34.8029251 32.1001324, 34.805034 32.100144)",,,,,,,,
358522447,358521622,0,344407790,False,,path,50.898,"LINESTRING (34.8029251 32.1001324, 34.802385 32.100146)",,,,,,,,
358522448,1143028100,0,344407790,False,,path,56.082,"LINESTRING (34.805034 32.100144, 34.805629 32.100126)",,,,,,,,
358522448,358522447,0,344407790,False,,path,198.653,"LINESTRING (34.805034 32.100144, 34.8029251 32.1001324)",,,,,,,,
358522449,1143028100,0,98819432,False,,path,23.976,"LINESTRING (34.805883 32.100112, 34.805629 32.100126)",,yes,,,,,,
358522449,358522451,0,98819433,False,,path,68.55,"LINESTRING (34.805883 32.100112, 34.806593 32.0999767)",,,,,,,,
358522451,358522449,0,98819433,False,,path,68.55,"LINESTRING (34.806593 32.0999767, 34.805883 32.100112)",,,,,,,,
358522451,358530904,0,104699085,False,,path,25.658,"LINESTRING (34.806593 32.0999767, 34.806832 32.099866)",,,,,,,,
358522451,358522453,0,169067540,False,,path,31.211,"LINESTRING (34.806593 32.0999767, 34.80692 32.100022)",,,,,,,,
358522453,358522451,0,169067540,False,,path,31.211,"LINESTRING (34.80692 32.100022, 34.806593 32.0999767)",,,,,,,,
358522453,358522454,0,169067540,False,,path,34.129,"LINESTRING (34.80692 32.100022, 34.807224 32.100189)",,,,,,,,
358522454,358522453,0,169067540,False,,path,34.129,"LINESTRING (34.807224 32.100189, 34.80692 32.100022)",,,,,,,,
358522454,358522456,0,169067540,False,,path,45.025,"LINESTRING (34.807224 32.100189, 34.807501 32.100519)",,,,,,,,
358522456,412816904,0,35206598,False,,path,48.37,"LINESTRING (34.807501 32.100519, 34.807545 32.1009524)",,,,,,,,
358522456,358522454,0,169067540,False,,path,45.025,"LINESTRING (34.807501 32.100519, 34.807224 32.100189)",,,,,,,,
358522456,358522457,0,169067540,False,,path,26.307,"LINESTRING (34.807501 32.100519, 34.807747 32.100631)",,,,,,,,
358522457,358522456,0,169067540,False,,path,26.307,"LINESTRING (34.807747 32.100631, 34.807501 32.100519)",,,,,,,,
358522457,358522458,0,169067540,False,,path,43.892,"LINESTRING (34.807747 32.100631, 34.808207 32.100568)",,,,,,,,
358522458,766753654,0,61410764,False,,path,30.154,"LINESTRING (34.808207 32.100568, 34.808226 32.1008387)",,,,,,,,
358522458,358522457,0,169067540,False,,path,43.892,"LINESTRING (34.808207 32.100568, 34.807747 32.100631)",,,,,,,,
358522458,358522459,0,169067540,False,,path,19.493,"LINESTRING (34.808207 32.100568, 34.80837 32.10046)",,,,,,,,
358522459,358522458,0,169067540,False,,path,19.493,"LINESTRING (34.80837 32.10046, 34.808207 32.100568)",,,,,,,,
358522459,358522461,0,169067540,False,,path,26.75,"LINESTRING (34.80837 32.10046, 34.808533 32.100263)",,,,,,,,
358522461,358522459,0,169067540,False,,path,26.75,"LINESTRING (34.808533 32.100263, 34.80837 32.10046)",,,,,,,,
358522461,1207693415,0,169067540,False,,path,13.934,"LINESTRING (34.808533 32.100263, 34.808669 32.1002137)",,,,,,,,
358522462,1207693415,0,169067540,False,,path,9.821,"LINESTRING (34.808773 32.10022, 34.808669 32.1002137)",,,,,,,,
358522462,412816936,0,169067540,False,,path,12.412,"LINESTRING (34.808773 32.10022, 34.8089036 32.1002348)",,,,,,,,
358522464,412816936,0,30780219,False,,path,24.079,"LINESTRING (34.809113 32.100359, 34.8089036 32.1002348)",,,,,,,,
358522464,1207693365,0,30780219,False,,path,21.202,"LINESTRING (34.809113 32.100359, 34.8092687 32.1004967)",,,,,,,,
358522466,1207693365,0,30780219,False,,path,27.143,"LINESTRING (34.809468 32.100673, 34.8092687 32.1004967)",,,,,,,,
358522466,358522467,0,30780219,False,,path,48.206,"LINESTRING (34.809468 32.100673, 34.809928 32.100863)",,,,,,,,
358522467,358522466,0,30780219,False,,path,48.206,"LINESTRING (34.809928 32.100863, 34.809468 32.100673)",,,,,,,,
358522467,358522468,0,30780219,False,,path,9.521,"LINESTRING (34.809928 32.100863, 34.8100175 32.1009028)",,,,,,,,
358522468,358522467,0,30780219,False,,path,9.521,"LINESTRING (34.8100175 32.1009028, 34.809928 32.100863)",,,,,,,,
358522468,5140708434,0,30780219,False,,path,47.646,"LINESTRING (34.8100175 32.1009028, 34.8105007 32.1007761)",,,,,,,,
358522469,5140708455,0,30780219,False,,path,16.642,"LINESTRING (34.8108351 32.1006405, 34.8106635 32.1006761)",,,,,,,,
358522469,358522471,0,30780219,False,,path,56.672,"LINESTRING (34.8108351 32.1006405, 34.811417 32.10077)",,,,,,,,
358522471,358522469,0,30780219,False,,path,56.672,"LINESTRING (34.811417 32.10077, 34.8108351 32.1006405)",,,,,,,,
358522471,358522472,0,30780219,False,,path,66.035,"LINESTRING (34.811417 32.10077, 34.8120958 32.1006216)",,,,,,,,
358522472,358522471,0,30780219,False,,path,66.035,"LINESTRING (34.8120958 32.1006216, 34.811417 32.10077)",,,,,,,,
358522472,5140708456,0,30780219,False,,path,15.38,"LINESTRING (34.8120958 32.1006216, 34.8122583 32.1006081)",,,,,,,,
358522474,5140708456,0,30780219,False,,path,18.216,"LINESTRING (34.8124425 32.100658, 34.8122583 32.1006081)",,,,,,,,
358522474,989012075,0,30780219,False,,path,46.032,"LINESTRING (34.8124425 32.100658, 34.8128684 32.100861)",,,,,,,,
358522477,989012075,0,30780219,False,,path,24.911,"LINESTRING (34.813109 32.100954, 34.8128684 32.100861)",,,,,,,,
358522477,5140708457,0,30780219,False,,path,20.178,"LINESTRING (34.813109 32.100954, 34.8132883 32.1010533)",,,,,,,,
358522478,5140708457,0,30780219,False,,path,65.445,"LINESTRING (34.8137651 32.1014814, 34.8132883 32.1010533)",,,,,,,,
358522478,358523656,0,30780219,False,,path,17.565,"LINESTRING (34.8137651 32.1014814, 34.8138782 32.101607)",,,,,,,,
358523656,358522478,0,30780219,False,,path,17.565,"LINESTRING (34.8138782 32.101607, 34.8137651 32.1014814)",,,,,,,,
358527812,1207717623,0,30780582,False,,cycleway,4.596,"LINESTRING (34.788267 32.0972192, 34.788219 32.0972118)",,,,,,,,
358527812,6049931380,0,30780582,False,,cycleway,29.391,"LINESTRING (34.788267 32.0972192, 34.7885766 32.097252)",,,,,,,,
358527813,340382391,0,104702331,False,,cycleway,200.334,"LINESTRING (34.7863358 32.0969211, 34.7842097 32.0968779)",,,,,,,,
358527813,1033189336,0,104702331,False,,cycleway,13.705,"LINESTRING (34.7863358 32.0969211, 34.7864791 32.0969424)",,,,,,,,
358529377,1465592066,0,104702332,False,,path,49.164,"LINESTRING (34.7966497 32.0989886, 34.7970298 32.0992916)",,,,,,,,
358529377,1823149954,0,104702332,False,,path,1.862,"LINESTRING (34.7966497 32.0989886, 34.7966324 32.0989805)",,,,,,,,
358529823,358521608,0,104702332,False,,path,21.836,"LINESTRING (34.7984469 32.099797, 34.798668 32.099856)",,,,,,,,
358529823,3907732376,0,104702332,False,,path,8.829,"LINESTRING (34.7984469 32.099797, 34.7983579 32.0997721)",,,,,,,,
358529827,3907732376,0,104702332,False,,path,6.723,"LINESTRING (34.7982901 32.0997532, 34.7983579 32.0997721)",,,,,,,,
358529827,358529830,0,104702332,False,,path,32.327,"LINESTRING (34.7982901 32.0997532, 34.7979748 32.0996384)",,,,,,,,
358529830,358529827,0,104702332,False,,path,32.327,"LINESTRING (34.7979748 32.0996384, 34.7982901 32.0997532)",,,,,,,,
358529830,1465592068,0,104702332,False,,path,25.088,"LINESTRING (34.7979748 32.0996384, 34.7977416 32.0995294)",,,,,,,,
358529832,1465592068,0,104702332,False,,path,14.739,"LINESTRING (34.7975953 32.0994824, 34.7977416 32.0995294)",,,,,,,,
358529832,358529835,0,104702332,False,,path,34.997,"LINESTRING (34.7975953 32.0994824, 34.797239 32.0993932)",,,,,,,,
358529835,358529832,0,104702332,False,,path,34.997,"LINESTRING (34.797239 32.0993932, 34.7975953 32.0994824)",,,,,,,,
358529835,1465592066,0,104702332,False,,path,22.715,"LINESTRING (34.797239 32.0993932, 34.7970298 32.0992916)",,,,,,,,
358530811,5538090847,0,34177093,False,,path,35.025,"LINESTRING (34.8253942 32.1060824, 34.8253406 32.1063941)",,,,,,,,
358530811,919016632,0,121665910,False,,path,25.95,"LINESTRING (34.8253942 32.1060824, 34.82522 32.1059016)",,,,,,,,
358530811,358530809,0,121665910,False,,path,34.706,"LINESTRING (34.8253942 32.1060824, 34.825733 32.1062051)",,,,,,,,
358530890,3451396727,0,42837126,False,,path,1.194,"LINESTRING (34.809128 32.096929, 34.8091158 32.0969319)",,,,,,,,
358530890,1836421217,0,61574757,False,,path,28.627,"LINESTRING (34.809128 32.096929, 34.8093488 32.0971059)",,,,,,,,
358530890,3605501609,0,121665910,False,,path,35.503,"LINESTRING (34.809128 32.096929, 34.8095029 32.0968962)",,,,,,,,
358530894,1142848808,0,61574756,False,,path,43.404,"LINESTRING (34.809223 32.099153, 34.8091085 32.0995311)",,,,,,,,
358530894,2352555391,0,61574756,False,,path,5.397,"LINESTRING (34.809223 32.099153, 34.8092207 32.0991045)",,,,,,,,
358530895,412816936,0,35206609,False,,path,44.574,"LINESTRING (34.8090095 32.0998441, 34.8089036 32.1002348)",,,,,,,,
358530895,358530896,0,61574755,False,,path,11.73,"LINESTRING (34.8090095 32.0998441, 34.808888 32.099821)",,,,,,,,
358530895,1142848808,0,61574756,False,,path,36.032,"LINESTRING (34.8090095 32.0998441, 34.8091085 32.0995311)",,,,,,,,
358530896,358530897,0,61574755,False,,path,35.359,"LINESTRING (34.808888 32.099821, 34.808587 32.099631)",,,,,,,,
358530896,358530895,0,61574755,False,,path,11.73,"LINESTRING (34.808888 32.099821, 34.8090095 32.0998441)",,,,,,,,
358530897,358530898,0,61574755,False,,path,32.306,"LINESTRING (34.808587 32.099631, 34.808253 32.099565)",,,,,,,,
358530897,358530896,0,61574755,False,,path,35.359,"LINESTRING (34.808587 32.099631, 34.808888 32.099821)",,,,,,,,
358530898,358530897,0,61574755,False,,path,32.306,"LINESTRING (34.808253 32.099565, 34.808587 32.099631)",,,,,,,,
358530898,358530899,0,77885187,False,,path,41.636,"LINESTRING (34.808253 32.099565, 34.807811 32.099562)",,,,,,,,
358530899,1207693392,0,77885187,False,,path,11.48,"LINESTRING (34.807811 32.099562, 34.8076983 32.0996013)",,,,,,,,
358530899,358530898,0,77885187,False,,path,41.636,"LINESTRING (34.807811 32.099562, 34.808253 32.099565)",,,,,,,,
358530900,358530901,0,104699085,False,,path,42.486,"LINESTRING (34.8075642 32.0996347, 34.807119 32.099696)",,,,,,,,
358530900,1207693392,0,104699091,False,,path,13.166,"LINESTRING (34.8075642 32.0996347, 34.8076983 32.0996013)",,yes,,,,,,
358530901,358530904,0,104699085,False,,path,32.988,"LINESTRING (34.807119 32.099696, 34.806832 32.099866)",,,,,,,,
358530901,358530900,0,104699085,False,,path,42.486,"LINESTRING (34.807119 32.099696, 34.8075642 32.0996347)",,,,,,,,
358530904,358522451,0,104699085,False,,path,25.658,"LINESTRING (34.806832 32.099866, 34.806593 32.0999767)",,,,,,,,
358530904,358530901,0,104699085,False,,path,32.988,"LINESTRING (34.806832 32.099866, 34.807119 32.099696)",,,,,,,,
387496221,476369760,0,261832904,False,,path,106.637,"LINESTRING (34.7856514 32.0799283, 34.7867775 32.0798319)",,,,,,,,
387496221,489536104,0,261832904,False,,path,208.724,"LINESTRING (34.7856514 32.0799283, 34.7834419 32.0800648)",,,,,,,,
387496221,387496059,0,33826860,True,בריינין,residential,83.347,"LINESTRING (34.7856514 32.0799283, 34.7855468 32.079184)",30,,,,,,,
392067318,1129148200,0,34177093,False,,path,6.383,"LINESTRING (34.8252765 32.106638, 34.8252863 32.1065812)",,,,,,,,
401546379,1388909012,0,482733906,False,,path,24.224,"LINESTRING (34.7807468 32.0983075, 34.7804917 32.09828)",,,,,,,,
401546379,1388909018,0,482733906,False,,path,15.465,"LINESTRING (34.7807468 32.0983075, 34.7809105 32.0983181)",,,,,,,,
401548664,1140752838,0,104702332,False,,path,56.699,"LINESTRING (34.7942462 32.0981663, 34.7948148 32.0983336)",,,,,,,,
401548664,6157517865,0,104702332,False,,path,32.959,"LINESTRING (34.7942462 32.0981663, 34.7939321 32.0980357)",,,,,,,,
412816904,358522456,0,35206598,False,,path,48.37,"LINESTRING (34.807545 32.1009524, 34.807501 32.100519)",,,,,,,,
412816904,639608140,0,50341907,False,,path,60.872,"LINESTRING (34.807545 32.1009524, 34.8079532 32.1013768)",,,,,,,,
